code,list,section,ordinal,supplementary,author,title,year,kind,stars,work_id,pdf,pdf_verdict,state,pages,sections,chunks,embedded,note
I.A.1,I. Theory,"Narrative Theory, Poetics, and Psychoanalysis",1,,Aristóteles,Poética,1974,monograph,,aristoteles-poetica-1974,"Aristo_teles_Po�tica_ Magna Moralia_ (Biblioteca Cl�sica Gredos) -- Arist�teles [Arist�teles] -- Biblioteca cl�sica Gredos -- 390_, 1_ ed_, Madrid, Spain, -- isbn13 9788424917647 -- b7c337402ed89f34546ff52f1c4bf7a0 -- Anna�s Archive.pdfive.p",,missing,0,0,0,0,
I.A.2,I. Theory,"Narrative Theory, Poetics, and Psychoanalysis",2,,"Freud, Sigmund",El malestar en la cultura,1978,essay,,freud-el-malestar-en-la-cultura-1978,"El malestar en la cultura -- Freud, Sigmund -- Bookwire GmbH, [Madrid, Spain], 2017 -- Ediciones Akal -- isbn13 9788446043843 -- cabe0abf005411e32da3fb06b05a34af -- Anna’s Archive.pdf",check by hand,mapped,0,0,0,0,
I.A.3,I. Theory,"Narrative Theory, Poetics, and Psychoanalysis",3,,"Lacan, Jacques",Escritos 1,2012,essay,,lacan-escritos-1-2012,"Escritos 1 (Spanish Edition) -- Jacques Lacan [Lacan, Jacques] -- 2009 -- Siglo XXI Editores Mexico -- f159192731b7b8bdb3266d2fc5ead8e7 -- Anna�s Archive.pdf",,missing,0,0,0,0,
I.A.4,I. Theory,"Narrative Theory, Poetics, and Psychoanalysis",4,,"Lienhard, Martín",La voz y su huella: escritura y conflicto étnico-social en América Latina (1492–1988),1990,monograph,,lienhard-la-voz-y-su-huella-1990,,,missing,0,0,0,0,
I.A.5,I. Theory,"Narrative Theory, Poetics, and Psychoanalysis",5,,"Pimentel, Luz Aurora",El relato en perspectiva: estudio de teoría narrativa,1998,monograph,,pimentel-el-relato-en-perspectiva-estudio-1998,"El relato en perspectiva_ Estudio de teoría narrativa -- Luz Aurora Pimentel -- Lingüística y teoría literaria, 1998 -- Siglo XXI, UNAM -- isbn13 9789682321153 -- 949b65021ff0284c13e920d3209fdaa5 -- Anna’s Archive.pdf",citable,mapped,0,0,0,0,
I.A.6,I. Theory,"Narrative Theory, Poetics, and Psychoanalysis",6,,"Rama, Ángel",Transculturación narrativa en América Latina,1982,monograph,,rama-transculturacion-narrativa-en-america-la-1982,"RAMA, ÁNGEL - Transculturación Narrativa en América Latina -- ganz1912 -- 2019 -- cb1ec5f4ae0863755d57fac8b9182db4 -- Anna’s Archive.pdf",citable,mapped,0,0,0,0,
I.A.7,I. Theory,"Narrative Theory, Poetics, and Psychoanalysis",7,,"Viego, Antonio",Dead Subjects: Toward a Politics of Loss in Latino Studies,2007,monograph,,viego-dead-subjects-toward-2007,,,none,0,0,0,0,added to the catalogue 16 Sept; no copy yet
I.B.8,I. Theory,"Haunting, Archives, and Embodied Memory",8,,"Derrida, Jacques",Mal de archivo: una impresión freudiana,1997,monograph,,derrida-mal-de-archivo-una-impresion-1997,"Mal de archivo_ una impresión freudiana -- Jacques Derrida; Paco Vidarte -- Estructuras y Procesos_ Filosofía, 1a, 1997 -- Trotta Trotta -- isbn13 9788481641332 -- 1991aab86a9a6c8f86857e8e412f18a1 -- Anna’s Archi.pdf",citable,loaded,101,0,88,88,
I.B.9,I. Theory,"Haunting, Archives, and Embodied Memory",9,,"Gordon, Avery F",Ghostly Matters: Haunting and the Sociological Imagination,1997,monograph,,gordon-ghostly-matters-haunting-and-the-1997,"Ghostly Matters _ Haunting and the Sociological Imagination -- Avery F_ Gordon, with a new introduction; foreword by Janice -- 2nd University of -- isbn13 9780816620838 -- 3a7624efe659c878213766da39aa82d7 -- Anna’s Archive.pdf",citable,mapped,0,0,0,0,
I.B.10,I. Theory,"Haunting, Archives, and Embodied Memory",10,,"Molloy, Sylvia",Acto de presencia: la escritura autobiográfica en Hispanoamérica,1996,monograph,,molloy-acto-de-presencia-la-escritura-1996,"Acto de presencia _ la escritura autobiográfica en -- Molloy, Sylvia -- Serie Estudios de lingüística y literatura -- 35, Colección -- México, D_F_ _ -- isbn13 9789681208035 -- 7cf48f589a784a099a6af2f88b4ee3c0 -- Anna’s Archive.pdf",probably citable,mapped,0,0,0,0,
