confidence,found_author,found_title,found_year,id,isbn,language,list_author,list_title,list_year,place,publisher,ref,source,verdict
1.35,Aristóteles Aristóteles,Poética,2020,aristoteles-poetica-1974,9788413371870,,Aristóteles,Poética,1974,,"Editorial Verbum, S.L.",https://openlibrary.org/works/OL34765252W,openlibrary,accept
0,,,,cornejo-polar-escribir-en-el-aire-ensayo-1994,,,"Cornejo Polar, Antonio",Escribir en el aire: ensayo sobre la heterogeneidad socio-cultural en las literaturas andinas,,,,,,nothing found
1.35,Sigmund Freud,El Malestar En La Cultura,1970,freud-el-malestar-en-la-cultura-1978,9789504000730,spa,"Freud, Sigmund",El malestar en la cultura,1978,"Barcelona, España","Ediciones Folio, S. A.",https://openlibrary.org/works/OL1069625W,openlibrary,accept
0,,,,lacan-escritos-1-2012,,,"Lacan, Jacques",Escritos 1,,,,,,nothing found
0,,,,lienhard-la-voz-y-su-huella-1990,,,"Lienhard, Martín",La voz y su huella: escritura y conflicto étnico-social en América Latina (1492–1988),,,,,,nothing found
0,,,,pimentel-el-relato-en-perspectiva-estudio-1998,,,"Pimentel, Luz Aurora",El relato en perspectiva: estudio de teoría narrativa,,,,,,nothing found
1.5,Angel Rama,Transculturación narrativa en América Latina,1982,rama-transculturacion-narrativa-en-america-la-1982,9789682311093,spa,"Rama, Ángel",Transculturación narrativa en América Latina,1982,Montevideo,Fundación Angel Rama,https://openlibrary.org/works/OL3261063W,openlibrary,accept
0,,,,williams-the-other-side-of-the-2002,,,"Williams, Gareth",The Other Side of the Popular: Neoliberalism and Subalternity in Latin America,,,,,,nothing found
0,,,,derrida-mal-de-archivo-una-impresion-1997,,,"Derrida, Jacques",Mal de archivo: una impresión freudiana,,,,,,nothing found
0,,,,gordon-ghostly-matters-haunting-and-the-1997,,,"Gordon, Avery F",Ghostly Matters: Haunting and the Sociological Imagination,,,,,,nothing found
1.5,Elizabeth Jelin,Los trabajos de la memoria,2002,jelin-los-trabajos-de-la-memoria-2002,9788432310935,spa,"Jelin, Elizabeth",Los trabajos de la memoria,2002,Madrid,Social Science Research Council,https://openlibrary.org/works/OL4539515W,openlibrary,accept
0,,,,molloy-acto-de-presencia-la-escritura-1996,,,"Molloy, Sylvia",Acto de presencia: la escritura autobiográfica en Hispanoamérica,,,,,,nothing found
0,,,,stoler-along-the-archival-grain-epistemic-2009,,,"Stoler, Ann Laura",Along the Archival Grain: Epistemic Anxieties and Colonial Common Sense,,,,,,nothing found
0,,,,taylor-the-archive-and-the-repertoire-2003,,,"Taylor, Diana",The Archive and the Repertoire: Performing Cultural Memory in the Americas,,,,,,nothing found
1.5,Rolena Adorno,The Polemics of Possession in Spanish American Narrative,2007,adorno-the-polemics-of-possession-in-2007,9781282351691,eng,"Adorno, Rolena",The Polemics of Possession in Spanish American Narrative,2007,,Yale University Press,https://openlibrary.org/works/OL1902619W,openlibrary,accept
1.5,Peter Gerhard,La frontera norte de la Nueva España,1996,gerhard-la-frontera-norte-de-la-1996,9789683622556,spa,"Gerhard, Peter",La frontera norte de la Nueva España,1996,"México, D.F",Universidad Nacional Autónoma de México,https://openlibrary.org/works/OL38923499W,openlibrary,accept
0,,,,gomez-barris-the-extractive-zone-social-ecologies-2017,,,"Gómez-Barris, Macarena",The Extractive Zone: Social Ecologies and Decolonial Perspectives,,,,,,nothing found
0,,,,jauregui-espectros-y-conjuras-asedios-a-2020,,,"Jáuregui, Carlos A",Espectros y conjuras: asedios a la cuestión colonial,,,,,,nothing found
0,,,,saldana-portillo-indian-given-racial-geographies-across-2016,,,"Saldaña-Portillo, María Josefina",Indian Given: Racial Geographies across Mexico and the United States,,,,,,nothing found
0,,,,taussig-shamanism-colonialism-and-the-wild-1987,,,"Taussig, Michael","Shamanism, Colonialism, and the Wild Man: A Study in Terror and Healing",,,,,,nothing found
0,,,,anzaldua-borderlands-la-frontera-the-new-1987,,,"Anzaldúa, Gloria",Borderlands / La Frontera: The New Mestiza,,,,,,nothing found
0,,,,castillo-massacre-of-the-dreamers-essays-1994,,,"Castillo, Ana",Massacre of the Dreamers: Essays on Xicanisma,,,,,,nothing found
