filename,verdict,pages,offset,agreement,folios,producer,against,for
 POESIA ORAL_DIGITAL.pdf,citable,536,-43,0.99,480,Adobe PDF Library 18.0 Adobe InDesign 21.0 (Windows),,"typeset: Adobe PDF Library 18.0 Adobe InDesign 21 | consistent print pagination, offset -43 (477 of 480 bare folios) | copyright page present | running heads"
"A Xicana Codex of Changing Consciousness _ Writings, -- Cherríe L_ Moraga, Cherríe Moraga,Celia Herrera Rodriguez -- Duke University Press, Durham, -- isbn13 9780822349624 -- 51182897918bf5a870e64e462489b808 -- Anna’s Archive.pdf",citable,275,-23,0.99,210,Adobe PDF Library 9.0 Adobe InDesign CS4 (6.0.6),,"typeset: Adobe PDF Library 9.0 Adobe InDesign CS4 | consistent print pagination, offset -23 (207 of 210 bare folios) | copyright page present | running heads"
"A dictionary of New Mexico and southern Colorado Spanish , A -- Cobos, Rubén, None -- Sante Fe, New Mexico, 1983 -- Sante Fe _ Museum of New Mexico -- isbn13 9780890131411 -- 11eddce03216b570e11b1bf07ec45b43 -- Anna’s Archive.pdf",citable,212,-20,0.99,188,Recoded by LuraDocument PDF v2.68 Internet Archive,,"consistent print pagination, offset -20 (187 of 188 bare folios) | copyright page present | running heads"
"Across a Hundred Mountains _ A Novel -- Reyna Grande -- Simon & Schuster, New York, 2006 -- Beyond Words_Atria Books -- isbn13 9780743269575 -- 9096b27a4d5aae50e4e474bff287b94b -- Anna’s Archive.pdf",citable,276,-8,0.99,247,Recoded by LuraDocument PDF v2.65 Digitized by the Internet ,,"consistent print pagination, offset -8 (244 of 247 bare folios) | copyright page present | running heads"
"Acto de presencia _ la escritura autobiográfica en -- Molloy, Sylvia -- Serie Estudios de lingüística y literatura -- 35, Colección -- México, D_F_ _ -- isbn13 9789681208035 -- 7cf48f589a784a099a6af2f88b4ee3c0 -- Anna’s Archive.pdf",probably citable,308,0,0.97,279,Internet Archive PDF 1.4.25; including mupdf and pymupdf/ski,printed page numbers equal the file pages — no front matter,copyright page present | running heads
"Along the Archival Grain _ Epistemic Anxieties and Colonial -- Ann Laura Stoler -- 1, 2010-02-14 -- Princeton University Press -- isbn13 9780691015774 -- 7f28fb8fc712fd06b69f34b1c2012039 -- Anna’s Archive.pdf",citable,333,-17,0.93,40,calibre (5.22.1) [https://calibre-ebook.com] calibre (5.22.1,produced by a converter: calibre (5.22.1) [https://calibre-ebook. | no running heads,"consistent print pagination, offset -17 (37 of 40 bare folios) | copyright page present"
Benjamin - Brujas.pdf,needs OCR,78,,,,,no text layer; OCR before judging citability,
"Bless me, Ultima -- Rudolfo Anaya, Rudolfo A_ Anaya -- Warner Books ed_, New York, New York State, 1999 -- New York _ Warner Books -- isbn13 9780446517836 -- 5aff759fb98b4cbe4cb6878922e23830 -- Anna’s Archive.pdf",citable,308,-14,0.98,239,Internet Archive PDF 1.4.18; including mupdf and pymupdf/ski,,"consistent print pagination, offset -14 (235 of 239 bare folios) | copyright page present | running heads"
"Borderlands _ the new Mestiza = La Frontera -- Anzaldúa, Gloria -- 1st ed_, San Francisco, 1991 -- San Francisco _ Aunt Lute Books -- isbn13 9781879960121 -- 05c1474bd01ce6aacd9ccedf8bc96ef5 -- Anna’s Archive.pdf",citable,228,-20,0.97,183,Recoded by LuraDocument PDF v2.28 Digitized by the Internet ,,"consistent print pagination, offset -20 (177 of 183 bare folios) | copyright page present | running heads"
"Cajas de cartón _ relatos de la vida peregrina de un niño -- Jiménez, Francisco, 1943- -- HarperCollins, Boston, 2000 -- Boston _ Houghton Mifflin -- isbn13 9780395955819 -- 47ef29931b5999d0c34c6b588b940b24 -- Anna’s Archive.pdf",citable,154,-16,1.0,109,Internet Archive PDF 1.4.22; including mupdf and pymupdf/ski,,"consistent print pagination, offset -16 (109 of 109 bare folios) | copyright page present | running heads"
