id,author,title,year,isbn,list_id,list,section,section_letter,group,examinable,other_titles,entry
aristoteles-poetica-1974,Aristóteles,Poética,1974,,theory,I. Theory,"A. Narrative Theory, Poetics, and Psychoanalysis",A,core,yes,,"Aristóteles. Poética. Edición trilingüe de Valentín García Yebra, Gredos, 1974."
cornejo-polar-escribir-en-el-aire-ensayo-1994,"Cornejo Polar, Antonio",Escribir en el aire: ensayo sobre la heterogeneidad socio-cultural en las literaturas andinas,1994,,theory,I. Theory,"A. Narrative Theory, Poetics, and Psychoanalysis",A,core,yes,,"Cornejo Polar, Antonio. Escribir en el aire: ensayo sobre la heterogeneidad socio-cultural en las literaturas andinas. Horizonte, 1994."
freud-el-malestar-en-la-cultura-1978,"Freud, Sigmund",El malestar en la cultura,1978,,theory,I. Theory,"A. Narrative Theory, Poetics, and Psychoanalysis",A,core,yes,Obras completas,"Freud, Sigmund. ""Lo ominoso."" 1919. El malestar en la cultura. 1930. Obras completas, traducción de José Luis Etcheverry, Amorrortu, 1978–79, vols. 17 y 21."
lacan-escritos-1-2012,"Lacan, Jacques",Escritos 1,2012,,theory,I. Theory,"A. Narrative Theory, Poetics, and Psychoanalysis",A,core,yes,Otros escritos,"Lacan, Jacques. ""El seminario sobre 'La carta robada'."" Escritos 1, traducción de Tomás Segovia, Siglo XXI Editores, 1971. ""Lituratierra."" Otros escritos, traducción de Graciela Esperanza et al., Paidós, 2012."
lienhard-la-voz-y-su-huella-1990,"Lienhard, Martín",La voz y su huella: escritura y conflicto étnico-social en América Latina (1492–1988),1990,,theory,I. Theory,"A. Narrative Theory, Poetics, and Psychoanalysis",A,core,yes,,"Lienhard, Martín. La voz y su huella: escritura y conflicto étnico-social en América Latina (1492–1988). Casa de las Américas, 1990."
pimentel-el-relato-en-perspectiva-estudio-1998,"Pimentel, Luz Aurora",El relato en perspectiva: estudio de teoría narrativa,1998,,theory,I. Theory,"A. Narrative Theory, Poetics, and Psychoanalysis",A,core,yes,,"Pimentel, Luz Aurora. El relato en perspectiva: estudio de teoría narrativa. Universidad Nacional Autónoma de México / Siglo XXI Editores, 1998."
rama-transculturacion-narrativa-en-america-la-1982,"Rama, Ángel",Transculturación narrativa en América Latina,1982,,theory,I. Theory,"A. Narrative Theory, Poetics, and Psychoanalysis",A,core,yes,,"Rama, Ángel. Transculturación narrativa en América Latina. Siglo XXI Editores, 1982."
williams-the-other-side-of-the-2002,"Williams, Gareth",The Other Side of the Popular: Neoliberalism and Subalternity in Latin America,2002,,theory,I. Theory,"A. Narrative Theory, Poetics, and Psychoanalysis",A,core,yes,,"Williams, Gareth. The Other Side of the Popular: Neoliberalism and Subalternity in Latin America. Duke University Press, 2002."
derrida-mal-de-archivo-una-impresion-1997,"Derrida, Jacques",Mal de archivo: una impresión freudiana,1997,,theory,I. Theory,"B. Haunting, Archives, and Embodied Memory",B,core,yes,,"Derrida, Jacques. Mal de archivo: una impresión freudiana. Traducción de Paco Vidarte, Trotta, 1997."
gordon-ghostly-matters-haunting-and-the-1997,"Gordon, Avery F",Ghostly Matters: Haunting and the Sociological Imagination,1997,,theory,I. Theory,"B. Haunting, Archives, and Embodied Memory",B,core,yes,,"Gordon, Avery F. Ghostly Matters: Haunting and the Sociological Imagination. University of Minnesota Press, 1997."
jelin-los-trabajos-de-la-memoria-2002,"Jelin, Elizabeth",Los trabajos de la memoria,2002,,theory,I. Theory,"B. Haunting, Archives, and Embodied Memory",B,core,yes,,"Jelin, Elizabeth. Los trabajos de la memoria. Siglo XXI Editores, 2002."
