id,author,title,year,isbn,list_id,list,section,section_letter,group,examinable,other_titles,entry,file,how,note,ext,file_isbn,citable
aristoteles-poetica-1974,Aristóteles,Poética,1974,,theory,I. Theory,"A. Narrative Theory, Poetics, and Psychoanalysis",A,core,yes,,"Aristóteles. Poética. Edición trilingüe de Valentín García Yebra, Gredos, 1974.","Poética_ Magna Moralia_ (Biblioteca Clásica Gredos) -- Aristóteles [Aristóteles] -- Biblioteca clásica Gredos -- 390_, 1_ ed_, Madrid, Spain, -- isbn13 9788424917647 -- b7c337402ed89f34546ff52f1c4bf7a0 -- Anna’s Archive.pdf",matched (90),,.pdf,9788424917647,yes
cornejo-polar-escribir-en-el-aire-ensayo-1994,"Cornejo Polar, Antonio",Escribir en el aire: ensayo sobre la heterogeneidad socio-cultural en las literaturas andinas,1994,,theory,I. Theory,"A. Narrative Theory, Poetics, and Psychoanalysis",A,core,yes,,"Cornejo Polar, Antonio. Escribir en el aire: ensayo sobre la heterogeneidad socio-cultural en las literaturas andinas. Horizonte, 1994.",,,,,,
freud-el-malestar-en-la-cultura-1978,"Freud, Sigmund",El malestar en la cultura,1978,,theory,I. Theory,"A. Narrative Theory, Poetics, and Psychoanalysis",A,core,yes,Obras completas,"Freud, Sigmund. ""Lo ominoso."" 1919. El malestar en la cultura. 1930. Obras completas, traducción de José Luis Etcheverry, Amorrortu, 1978–79, vols. 17 y 21.","El malestar en la cultura -- Freud, Sigmund -- Bookwire GmbH, [Madrid, Spain], 2017 -- Ediciones Akal -- isbn13 9788446043843 -- cabe0abf005411e32da3fb06b05a34af -- Anna’s Archive.pdf",matched (90),,.pdf,9788446043843,yes
lacan-escritos-1-2012,"Lacan, Jacques",Escritos 1,2012,,theory,I. Theory,"A. Narrative Theory, Poetics, and Psychoanalysis",A,core,yes,Otros escritos,"Lacan, Jacques. ""El seminario sobre 'La carta robada'."" Escritos 1, traducción de Tomás Segovia, Siglo XXI Editores, 1971. ""Lituratierra."" Otros escritos, traducción de Graciela Esperanza et al., Paidós, 2012.","Escritos 1 (Spanish Edition) -- Jacques Lacan [Lacan, Jacques] -- 2009 -- Siglo XXI Editores Mexico -- f159192731b7b8bdb3266d2fc5ead8e7 -- Anna’s Archive.pdf",override,volume held; the two listed essays sit inside it,.pdf,,yes
lienhard-la-voz-y-su-huella-1990,"Lienhard, Martín",La voz y su huella: escritura y conflicto étnico-social en América Latina (1492–1988),1990,,theory,I. Theory,"A. Narrative Theory, Poetics, and Psychoanalysis",A,core,yes,,"Lienhard, Martín. La voz y su huella: escritura y conflicto étnico-social en América Latina (1492–1988). Casa de las Américas, 1990.","La voz y su huella -- Martin Lienhard -- 4, 2003 -- Casa Juan Pablos; Universidad de Ciencias y Artes de Chiapas -- 9789685422406 -- beacd4e52516754e4265cdc3f2400cd9 -- Anna’s Archive.pdf",matched (90),,.pdf,9789685422406,yes
pimentel-el-relato-en-perspectiva-estudio-1998,"Pimentel, Luz Aurora",El relato en perspectiva: estudio de teoría narrativa,1998,,theory,I. Theory,"A. Narrative Theory, Poetics, and Psychoanalysis",A,core,yes,,"Pimentel, Luz Aurora. El relato en perspectiva: estudio de teoría narrativa. Universidad Nacional Autónoma de México / Siglo XXI Editores, 1998.","El relato en perspectiva_ Estudio de teoría narrativa -- Luz Aurora Pimentel -- Lingüística y teoría literaria, 1998 -- Siglo XXI, UNAM -- isbn13 9789682321153 -- 949b65021ff0284c13e920d3209fdaa5 -- Anna’s Archive.pdf",matched (110),,.pdf,9789682321153,yes
rama-transculturacion-narrativa-en-america-la-1982,"Rama, Ángel",Transculturación narrativa en América Latina,1982,,theory,I. Theory,"A. Narrative Theory, Poetics, and Psychoanalysis",A,core,yes,,"Rama, Ángel. Transculturación narrativa en América Latina. Siglo XXI Editores, 1982.","RAMA, ÁNGEL - Transculturación Narrativa en América Latina -- ganz1912 -- 2019 -- cb1ec5f4ae0863755d57fac8b9182db4 -- Anna’s Archive.pdf",matched (110),,.pdf,,yes
williams-the-other-side-of-the-2002,"Williams, Gareth",The Other Side of the Popular: Neoliberalism and Subalternity in Latin America,2002,,theory,I. Theory,"A. Narrative Theory, Poetics, and Psychoanalysis",A,core,yes,,"Williams, Gareth. The Other Side of the Popular: Neoliberalism and Subalternity in Latin America. Duke University Press, 2002.","The Other Side of the Popular _ Neoliberalism and -- Gareth Williams -- Duke University Press, Durham [N_C_], 2002 -- Duke University Press Books -- isbn13 9780822329251 -- 42c3ae18f859aeb3e5dd30132b22b42d -- Anna’s Archive.pdf",matched (110),,.pdf,9780822329251,yes
derrida-mal-de-archivo-una-impresion-1997,"Derrida, Jacques",Mal de archivo: una impresión freudiana,1997,,theory,I. Theory,"B. Haunting, Archives, and Embodied Memory",B,core,yes,,"Derrida, Jacques. Mal de archivo: una impresión freudiana. Traducción de Paco Vidarte, Trotta, 1997.","Mal de archivo_ una impresión freudiana -- Jacques Derrida; Paco Vidarte -- Estructuras y Procesos_ Filosofía, 1a, 1997 -- Trotta Trotta -- isbn13 9788481641332 -- 1991aab86a9a6c8f86857e8e412f18a1 -- Anna’s Archi.pdf",matched (85),,.pdf,9788481641332,yes
gordon-ghostly-matters-haunting-and-the-1997,"Gordon, Avery F",Ghostly Matters: Haunting and the Sociological Imagination,1997,,theory,I. Theory,"B. Haunting, Archives, and Embodied Memory",B,core,yes,,"Gordon, Avery F. Ghostly Matters: Haunting and the Sociological Imagination. University of Minnesota Press, 1997.","Ghostly Matters _ Haunting and the Sociological Imagination -- Avery F_ Gordon, with a new introduction; foreword by Janice -- 2nd University of -- isbn13 9780816620838 -- 3a7624efe659c878213766da39aa82d7 -- Anna’s Archive.pdf",matched (110),,.pdf,9780816620838,yes
