filename,book_id,classification,pages,chars_total,chars_per_page_median,sparse_pages,sparse_ratio,mb,pdf_title,pdf_author,encrypted,problem
 POESIA ORAL_DIGITAL.pdf,,pdf_text,536,1026075,2152,18,0.03,12.7,,,,
Calendario_Comps_Alaide_Oct2026.pdf,,pdf_text,4,18000,4532,0,0.0,0.2,Calendario_Comps_Alaide_Oct2026,Zazil Collins,,
"Catálogo de textos marginados novohispanos _ Inquisición, -- Archivo General de la Nación (México); realizado por María -- 1_ ed_, México, D_F, -- 9789681206963 -- cacb6717b9cbc386bd096a9e824bb840 -- Anna’s Archive.pdf",,pdf_text,748,3021992,4377,14,0.02,69.7,"Cat©Łlogo de textos marginados novohispanos : Inquisici©đn, siglo XVII : Archivo General de la Naci©đn (M©♭xico)",,,
"Cuentos Españoles De Colorado Y Nuevo México =_ Spanish Folk -- Rael, Juan Bautista_ -- 2d ed_, rev_, Santa Fe, New Mexico, 1977 -- Santa Fe_ Museum -- 9780890130933 -- 4352bea88e457328370a1b7fa8adc57c -- Anna’s Archive.pdf",,pdf_text,836,1858451,2282,4,0.0,39.9,Cuentos españoles de Colorado y Nuevo México = Spanish folk 凁젲ⱇ瑽䂊࡫䳂ਆ켦�京䫟ϝ柾ﰂ調洦㒺ܐ䣱鱗混勤몈Ḫ嘆ᣴ⏊짘鋣獇闦⢘∅萑ჺ솴≤몰ꇪ䶖貶黢懊位뤬ጦ權辈骱为躟楗揹�ㅰ撠웭軜ꧽג⢳盢맹㲼ພ슷䂅ꜞ쳛ࡷ쾴ᖇ㕘䚩ᜉ閲말Ლ,"Rael, Juan Bautista",,
"Cuentos_ Tales from the Hispanic Southwest_ Based on Stories -- selected by and adapted in Spanish by José Griego y Maestas; -- Santa Fe, N_M, ©1980, -- 9780890131107 -- 73a969f2aaeb372fbafdf4c9fbe476bf -- Anna’s Archive.pdf",,pdf_text,188,246494,1361,14,0.07,5.9,Cuentos : tales from the Hispanic Southwest : based on stories originally collected by Juan B. Rael,"Griego y Maestas, José, 1949-",,
Decolonial.pdf,,pdf_text,23,59038,2690,0,0.0,1.5,,,,
Diccionario Cobos sur Colorado español.pdf,,pdf_ocr_needed,29,0,0,29,1.0,15.1,Diccionario Conos sur Colorado español,,,
"El camino a Tamazunchale -- Arias, Ron, 1941- -- Tempe, Ariz, Arizona, 2002 -- Tempe, Ariz_ _ Bilingual Press_Editorial Bilingüe -- isbn13 9781931010061 -- 6f9e283a001461002472741a1ea9515c -- Anna’s Archive.pdf",,pdf_text,132,210409,1790,5,0.04,4.5,El camino a Tamazunchale,"Arias, Ron, 1941-",,
"El laberinto de la soledad, Postdata, Vuelta a El laberinto -- Octavio Paz -- Colección popular (Fondo de Cultura Económica (Mexico)), 5th -- Fondo de -- 9786071633606 -- 0d5ae97792960cf2654326f512e138f4 -- Anna’s Archive.pdf",,pdf_text,456,720993,1728,16,0.04,15.0,"El laberinto de la soledad, Postdata, Vuelta a El laberinto de la soledad (Spanish Edition)",Octavio Paz,,
El terror de la brujería como motivo literario.pdf,,pdf_text,20,49421,2734,0,0.0,0.2,,Austin Peay State University,,
