book_id,filename,pages,chars_per_page,copyright_page,back_matter,first_folio,last_folio,isbn_in_file,verdict,why
mendez-catalogo-textos-marginados-1992,"Catálogo de textos marginados novohispanos _ Inquisición, -- Archivo General de la Nación (México); realizado por María -- 1_ ed_, México, D_F, -- 9789681206963 -- cacb6717b9cbc386bd096a9e824bb840 -- Anna’s Archive.pdf",748,4040,yes,no,1,1980,yes,check,no index or bibliography
rael-cuentos-espanoles-1977,"Cuentos Españoles De Colorado Y Nuevo México =_ Spanish Folk -- Rael, Juan Bautista_ -- 2d ed_, rev_, Santa Fe, New Mexico, 1977 -- Santa Fe_ Museum -- 9780890130933 -- 4352bea88e457328370a1b7fa8adc57c -- Anna’s Archive.pdf",836,2223,yes,no,2,1977,yes,check,no index or bibliography
anaya-cuentos-hispanic-southwest-1980,"Cuentos_ Tales from the Hispanic Southwest_ Based on Stories -- selected by and adapted in Spanish by José Griego y Maestas; -- Santa Fe, N_M, ©1980, -- 9780890131107 -- 73a969f2aaeb372fbafdf4c9fbe476bf -- Anna’s Archive.pdf",188,1311,yes,yes,3,1979,yes,looks complete,
cobos-dictionary-nm-spanish-2003,Diccionario Cobos sur Colorado español.pdf,29,0,no,no,,,no,no text layer,needs OCR before it can be cited or searched
arias-camino-tamazunchale-1975,"El camino a Tamazunchale -- Arias, Ron, 1941- -- Tempe, Ariz, Arizona, 2002 -- Tempe, Ariz_ _ Bilingual Press_Editorial Bilingüe -- isbn13 9781931010061 -- 6f9e283a001461002472741a1ea9515c -- Anna’s Archive.pdf",132,1594,yes,no,3,124,yes,check,no index or bibliography
paz-laberinto-soledad-1999,"El laberinto de la soledad, Postdata, Vuelta a El laberinto -- Octavio Paz -- Colección popular (Fondo de Cultura Económica (Mexico)), 5th -- Fondo de -- 9786071633606 -- 0d5ae97792960cf2654326f512e138f4 -- Anna’s Archive.pdf",456,1581,yes,no,7,445,yes,check,no index or bibliography
jauregui-espectros-conjuras-2020,"Espectros y conjuras- Asedios a la cuestión colonial -- Carlos A_ Jáuregui -- Parecos y australes_ Ensayos de Cultura de la Colonia; 25, -- Vervuert -- 9783964568182 -- a8875767c5758e8601e5925013373a26 -- Anna’s Archive.pdf",381,2281,yes,no,16,381,yes,check,no index or bibliography
lotman-estructura-texto-artistico-1980,"Estructura Del Texto Artistico (Coleccion Fundamentos, 58) -- Yuri Mikhailovich Lotman -- Colección Fundamentos -- 58, 2a_ ed, Madrid, Spain, 1982 -- isbn13 9788470900389 -- 4480b03d66ff355f311ea74b62df49a6 -- Anna.pdf",358,2488,yes,no,1,364,no,check,no index or bibliography
flores-masera-relatos-inquisicion-2010,Flores - Inquisición.pdf,297,3820,yes,no,188,295,yes,likely excerpt,no index or bibliography; folios start at 188
sagel-hablando-de-brujas-1981,"Hablando De Brujas Y La Gente De Antes_ Poemas Del Río Chama -- por Jim Sagel; introduction by John Nichols -- Austin, Tex, Texas, 1981 -- Austin, -- 9780916908027 -- 01952a1d38588e8dc6a20a5044187476 -- Anna’s Arc.pdf",92,689,yes,no,10,499,yes,check,no index or bibliography
saldana-portillo-indian-given-2016,Indan given.pdf,42,2872,no,no,2,106,no,likely excerpt,no copyright page; no index or bibliography; only 42 pages
saldana-portillo-indian-given-2016,Indian given 2.pdf,46,3036,no,no,3,152,no,likely excerpt,filename says partial; no copyright page; no index or bibliography; only 46 pages
saldana-portillo-indian-given-2016,Indian given 3.pdf,38,2863,no,no,5,232,no,likely excerpt,filename says partial; no copyright page; no index or bibliography; only 38 pages
gerhard-frontera-norte-1996,La frontera norte de la nueva españa.pdf,28,2024,no,no,58,82,no,likely excerpt,no copyright page; no index or bibliography; only 28 pages; folios start at 58
herrera-transmigracion-cuerpos-2013,La transmigración de los cuerpos_Yuri Herrera.pdf,87,1595,no,no,2,5,no,likely excerpt,no copyright page; no index or bibliography
derrida-mal-de-archivo-1995,"Mal de archivo_ una impresión freudiana -- Jacques Derrida; Paco Vidarte -- Estructuras y Procesos_ Filosofía, 1a, 1997 -- Trotta Trotta -- isbn13 9788481641332 -- 1991aab86a9a6c8f86857e8e412f18a1 -- Anna’s Archi.pdf",101,2381,yes,no,7,107,yes,check,no index or bibliography
viramontes-the-moths,Moths-The_Las-palomillas-2.pdf,13,979,yes,no,1,107,no,likely excerpt,filename says partial; no index or bibliography; only 13 pages
rivera-garza-muertos-indociles-2013,RIVERA GARZA CRISTINA. Los muertos indociles.pdf,294,1542,yes,yes,13,300,yes,looks complete,
gonzales-red-medicine-2012,Red_Medicine_Traditional_Indigenous_Rites_of_Birth....pdf,314,2530,yes,yes,1,273,yes,looks complete,
adorno-polemics-possession-2007,Rolena Adorno_Polemics of Possesion.pdf,449,2433,yes,yes,2,428,yes,looks complete,
vigil-corn-woman-1994,"The corn woman _ stories and legends of the Hispanic -- retold by Angel Vigil; translated by Jennifer Audrey Lowell -- Bloomsbury USA, Englewood, -- 9780313069895 -- c92fca77f069c30392a6383e68e1bf56 -- Anna’s Archi.pdf",298,1634,yes,yes,1,169,yes,looks complete,
gomez-barris-extractive-zone-2017,The extractive zone_Macarena.pdf,23,2566,no,no,,,no,likely excerpt,no copyright page; no index or bibliography; only 23 pages
rebolledo-marquez-womens-tales-wpa-2000,Women%27s_Tales_from_the_New_Mexico_WPA_La_Diabla_a_..._----_(PART_I).pdf,104,2107,yes,no,,,no,likely excerpt,filename says partial; no index or bibliography
